English Word,Persian Word
cylindrical coordinate,مختص استوانه ای
Cylindrical coordinates,مختصات استوانه ای
cylindrical coordinats,مختصّات استوانه ای ، آراینده های استوانه ای ، هماراهای استوانه ای 
cylindrical helix,پیچ استوانه ای
cylindrical location,موضع دهی استوانه ای
cylindrical shell,لایه ی استوانه ای
cylindrical spiral,مارپیچ استوانه ای
cylindrical surface,رویه‌ی استوانه ای ، رویه ی استوانه ای 
cylindrical symmetry,تقارن استوانه ای
cylindrical wedge,گوه ی استوانه ای
cylindroid,استوانه نما ، شبه استوانه ای ، سیلندروئید 
d,حرف‌چهارم‌الفبای‌انگلیسی‌ ، چهارمین حرف الفبای انگلیسی ، رقم 13 در مب ... 
d' alembert criterion,معیار دالامبر
d' alembert solution,جواب دالامبر
d' alembert test,آزمون دالامبر ، آزمون تعمیم یافته ی نسبت 
d' alembert wave equation,معادله ی موج دالامبر
d' alembert's test for convergence,آزمون دالامبر برای همگرایی
d'agostino test of normality,آزمون داگوستینو برای نرمال‌بودن ، آزمون داگوستینو برای نرمال بودن 
daily pay,مزد روزانه ، پرداخت مزد روزانه 
daily rate,روزمزدی ، نرخ روزانه 
daily rate worker,کارگر روزمزد
daily resource sum,مجموع روزانه ی منبع
daily-paid employee,کارمند روزمزد
d'alambert's ratio,نسبت دالامبر
dalambert's ratio,نسبت دالامبر
d'alembert criterion,معیار دالامبر
d'alembert solution,جواب دالامبر (برای مساله ی کوشی)
right k module,k- مدول راست
right k-module,k - مدول راست
right limit,حدّ راست ، حد راست 
right linear grammar,دستور خطی راست
right lipschitz condition,شرط لیپ شیتس دست راستی
right lower derivative,مشتق پایین راست
right motion,حرکت مقید ، حرکت جسم صلب 
right multiplication,ضرب از راست
right open interval,بازه ی نیم باز از راست
right parallelepiped,متوازی السطوح قائم
right prism,منشور قائم
right quotient space,فضای خارج قسمت راست ، ‌ فضای هم مجموعه های راست 
right reflection,قرینه ی راست
right ring,حلقه ی راست
right rule,قاعده ی سمت راست
right section,مقطع قائم ، مقطع مسطّح ، مقطع مسطح 
right semihereditary ring,حلقه ی نیم موروثی راست
right sign,علامت درست ، علامت خاص 
right simplifiable element,عضو ساده شدنی از راست
right singular vector,بردار منفرد راست
right space,فضای صلب
right subtree,زیردرخت راست
right successor,تالی راست
right tangent,مماس راست
right topology,توپولوژی راست
right translation,انتقال راست
right triangle,مثلث قائم الزّاویه ، سه بر راست گوشه ، مثلث قائمه ، مثلث قاوم الزاویه 
right truncated prism,منشور ناقص قائم
right truncted prism,منشور ناقص قائم
right unit element,عنصر یکّه راست ، عنصر یکه ی راست 
right upper derivative,مشتق بالای راست
righthanded,راستگرد
rightmost derivation,اشتقاق از راست
right-open interval,بازه ی نیم باز از راست
rigid,جامد ، صلب 
rigid body,جسم صلب ، جسم سخت 
rigid motion,حرکت صلب ، حرکت مقیّد ، حرکت جسم صلب 
rigid space,فضای صلب
rigidity,صلبی ، صلبیت ، سحتپایی ، استحکام ، سختی ، مقاومت ، محکمی ، عدم نرمش ، ... 
rigidity of a sphere,سختی کره
rim,حاشیه ، حاشیه دار کردن ، طوقه ، لبه 
rim area,سطح دیواره ، سطح جداره 
rimming,اکسیدزدایی
ring,حلقه ؛ زرفین ، حلقه (ها) 
ring commutative,حلقه‌ی تعویض‌پذیر
ring compound,دوری ف سیکلیک ، دوری ، سیکلیک 
ring division,حلقه‌ی تقسیم
ring extension,گسترش حلقه
ring fixed,حلقه‌ی پایدار
ring homomorphism,همریختی حلقه ها ، هم ریختی حلقه ای 
ring isomorphism,یک ریختی حلقه ای ، یکریختی حلقه ها 
ring jig,الگوی کار حلقوی
ring mappings of a set into a ring,حلقه ی نگاشت های یک مجموعه در یک حلقه
ring network,شبکه ی حلقه ای
ring of endomorphisms,حلقه ی درسانی ها ، حلقه ی درون ریختی ها 
ring of gausslan integers,حلقه ی عدد های صحیح گاوسی
ring of integers,حلقه ی عدد های صحیح
ring of integers mod p,حلقه ی اعداد صحیح با کالبد p
ring of integers modulo p,حلقه ی اعداد صحیح به سنج p
ring of integers n modulo,اعداد صحیح با مدول n
ring of linear transformations,حلقه ی تبدیل های خطی
ring of mappings of a set into a ring,حلقه ی نگاشت های یک مجموعه در یک حلقه
ring of matrices of order n,حلقه ی ماتریس های مرتبه ی n
ring of polynomials,حلقه‌ی چندجمله‌ای‌ها ، حلقه ی چندجمله ای ها 
exponentiation,نمایی کردن ، نما 
exponention,توان
exponents,نما ها
export documentary credit,اعتبار اسنادی صادراتی
exportation law,قانون تفکیک دومقدّم
exports,صادرات
exposed to risk,در معرض خطر
express,بیان کردن ، نشان دادن 
express x as a function of y,x‌ را برحسب y بیان کردن
expression,عبارت ، صورت ، جمله ، درایش 
expression radical,عبارت رادیکال
expressive,بیانگر ، نشانگر 
expressive completeness,تمامیت بیانی
expriment,آزمایش ، ‌ آزمون 
exradius,شعاع دایره ی محاطی خارجی
extend,تعمیم دادن
extended,توسعه یافته
extended axiom of addition,اصل تعمیم یافته ی جمع
extended binary tree,درخت دو دویی گسترش یافته
extended complex,مختلط توسعه یافته
extended complex number system,دستگاه اعداد مختلط گسترش یافته ، دستگاه عدد های مختلط وسعت یافته 
extended complex plane,صفحه ی مختلط توسعه یافته ، صفحه ی مختلط وسعت یافته ، صفحه ی مختلط منب ... 
extended mean value,مقدار میانگین تعمیم یافته
extended mean value theorem,قضیه ی مقدار میانگین تعمیم یافته
extended real line,خط حقیقی مختوم ، خط حقیقی گسترش یافته 
extended real number system,دستگاه اعداد حقیقی گسترش یافته ، دستگاه اعداد حقیقی توسعه یافته ، دست ... 
extended real numbers system,دستگاه منبسط اعداد حقیقی
extended state trasition function,تابع تبدیل حالت تعمیم یافته
extension,توسیع ، شاخه ، بسط ، تعمیم ، ‌عمومیت ، توسعه ، امتداد ، گسترش ، تمدید ... 
extension algebraic,توسیع جبری
extension factor,عامل توسیع
extension field,میدان توسیع
extension finitely generated,توسیع به‌طور متناهی تولید شده
extension liouville,توسیع لیویل
extension of a field,توسیع هیأت
extension of identities principle,اساس تمدید همانی ها
extension of mapping,تعمیم گسترش
extension of prediction,حمل مصداقی
extension picard vessoit,توسیع پیکارد - ویسیوت
extension radical,توسیع رادیکال
extension ring,حلقه ی توسیعی
extension separable,تفکیک‌پذیر
extension simple,توسیع ساده
extension simple algebraic,توسیع جبری ساده
extension theorem,قضیه‌ی توسیع
extensionality,محتوا
extensively,به طور گسترده
extent,گسترده ، حیز ، مکان ، ‌حد ، دامنه تغییرات ، وسعت ، دامنه 
exterimenter,آزمایشگر
exterior,بیرون ، برون 
exterior algebra,جبر برونی ، جبر گراسمان 
exterior angle,زاویه ی خارجی ، زاویه ی برونی 
exterior content,قدر برونی
exterior derivative,مشتق برونی
exterior interior angles,زواییای متناظر
exterior measure,اندازه ی برونی
exterior of a set,برون مجموعه
exterior point,نقطه‌ی بیرونی ، نقطه ی خارجی 
exterior point of a set,نقطه ی برون مجموعه
exterior product,ضرب خارجی ، حاصل ضرب خارجی ، حاصل ضرب برداری ، حاصل ضرب برونی 
exterior product of linear forms,حاصل ضرب خارجی فرم های خطی
exterior product of two vectors,ضرب خارجی دو بردار ، حاصل ضرب خارجی دو بردار 
exterior region,ناحیه ی بیرونی ، ناحیه ی خارجی 
external,خارجی ، بیرونی ، برونی 
strictly weak,اکیدا ضعیف
strightforward,ساده ، روان 
strike,برخورد کردن ، روبرو شدن 
strike off rule,خط کش صاف کن
strike out,حذف کردن
string,رشته ، نوار ، ریسمان ، تار ، سیم ، فنر 
string diagram,نمودار نخی ، نقشه ی نخی 
stringent,سختگیرانه
strip,نوار ، ‌نوار کار ، ورقه کردن ، لخت کردن ، باریکه 
strip plots,کرتهای نواری
strip sampling,نمونه‌گیری نواری
stripping bay,بخش قالب کشی
stroke,خط ، ‌ ضربه ، برخورد ، کوبه 
strong,قوی ، پُر توان ، نیرومند ، شدید ، ‌ پرتوان 
strong back,نگهدارنده ی قوی ، ‌ حمایت قوی ، پشت بند قوی 
strong convergence,همگرایی قوی ، همگرایی شدید 
strong converse theorem,عکس قوی قضیه
strong deformation retract,درون بَر تغییر شکل قوی
strong duality,دوگانی قوی ، دوگان قوی 
strong induction,اسقرای قوی ، استقرای پُر توان ، استقراء قوی ، استقرای قوی ، ‌ استقرای ... 
strong interaction,بر هم کنش قوی
strong law of large numbers,قانون قوی اعداد بزرگ
strong markov property,خاصیّت پُرتوان مارکف ، خاصیت پرتوان مارکف 
strong operator relation,رابطه ی ترتیبی قوی
strong operator topology,توپولوژی قوی عملگر ها
strong order relation,نسبت ترتیبی قوی
strong ordering relation,نسبت ترتیبی قوی
strong relation,نسبت قوی
strong topology,توپولوژی پُرتوان ، توپولوژی پرتوان ، توپولوژی قوی 
strong true-score theory,نظریه قوی نمره واقعی
stronger,قوی تر
stronger topology,توپولوژی قوی تر
strongle connected,به طور قوی همبند
strongly connected,همبند قوی
strongly continuous mapping,نگاشت قوی پیوسته
strongly continuous representation,نمایش قوی پیوسته
strongly ergodic class,رده قویاً ارگودیک
strongly feasible basic partition,افراز پایه به طور قوی شدنی
strongly measurable function,تابع قویاً اندازه‌پذیر ، تابع قوی اندازه پذیر 
strongly normal extension field,هیأت توسیع قوی نرمال
strongly order preserving,حافظ ترتیب قوی
strongly ordered,به طور قوی مرتّب ، قویّـاً مرتّب ، به طور قوی مرتب ، قویا مرتب 
strongly paracompact space,فضای قوی پیرافشرده
strophoid,استروفوئید (خم) ، پیچکی ، استروفویید ، چرخ تیز نما ، چرخک نما ، چرخ ن ... 
structural,ساختاری
structural constant,ثابت ساختاری
structural distribution,توزیع ساختاری
structural equation model,مدل معادله ساختاری
structural estimation,برآورد ساختاری
structural inference,استنباط ساختاری
structural model,مدل ساختاری
structural parameter,پارامتر ساختاری
structural prediction,پیشگویی ساختاری
structural probability,احتمال ساختاری
structural regression,رگرسیون ساختاری
structural relationship,رابطه ی ساختاری
structural stability,پایداری ساختاری
structural zeros,صفرهای ساختاری
structuralist,ساختارگرا
structure,ساختار ، ساخت ، ساختمان ، سازمان‌بندی ، سازه 
structure function,تابع ساختار
structure sheaf,بافه ی ساختاری
structured flowchant,نمودار گردشی ساختیافته
structured matrix,ماتریس باساختار
closed current,جریان بسته
closed curve,منحنی بسته ، خم 
closed disc,گرده ی بسته ، دیسک بسته 
closed form,شکل بسته ، فرم بسته 
closed graph theorem,قضیه ی نمودار بسته
closed group,گروه بسته
closed half space,نیم فضای بسته
closed interval,فاصله ی بسته ، بازه ی بسته 
closed line,خطّ بسته ، خطّ مسدود ، خط بسته ، خط مسدود 
closed linear subspace,زیرفضای خطی بسته
closed loop,مدار بسته ، حلقه ی بسته 
closed manifold,خمینه ی بسته
closed mapping,نگاشت بسته
closed multi dimensional interval,سنگفرش بسته ، فاصله ی چند بعدی بسته 
closed open interval,بازه ی بسته ، باز 
closed operator,عملگر بسته
closed path,مسیر بسته
closed region,ناحیه ی بسته
closed sequence system,سیستم با توالی بسته
closed set,مجموعه‌ی بسته ، مجموعه ی بسته 
closed space figure,شکل فضایی بسته
closed spanning path,مسیر فراگیر بسته
closed subset,زیرمجموعه ی بسته
closed system,دستگاه بسته ، سیستم بسته ، نظام بسته 
closed trail,گذر بسته
closed traversable trail,گذر فایل پیمایش بسته
closed under,نسبت به     بسته است
closed unit interval,فاصله ی بسته ی واحد ، بازه ی یکه ی بسته 
closed walk,دور بسته ، گشت بسته 
closeness of estimators,نزدیکی برآوردگرها
closing inventory,موجودی کالای پایان دوره
closur,بستار
closure,بستار ، بست ، بسته بودن ، بربست ، بستگی؛ چسبندگی ، غشای چسبندگی ، چسب ... 
closure axioms,اصول موضوع بسته بودن ، اصل موضوع بسته بودن 
closure of set,بست مجموعه ، بستار مجموعه 
closure operator,عملگر بستار
closure property,ویژگی بستار ، ویژگی بسته بودن 
closure set,مجموعه ی بست ، مجموعه ی بستار 
clothoid,کلوتوئید(منحنی)
clue,راهنما ، نشان ، کلید ، مدرک ، اثر 
clumping,تجمّع ، تجمع 
cluntable,قابل شمارش ، شمارا ، شماره پذیر 
clurse,دنده ی درشت ، مسیر حرکت ، دوره ، خشن ، دور میدان 
cluster,خوشه ، خوشه‌ای ، خوشه ای ، دسته 
cluster analysis,تحلیل خوشه‌ای
cluster gear,چرخ دنده ی خوشه ای
cluster point,نقطه‌ی چسبیدگی ، نقطه‌ی انباشتگی ، نقطه‌ی تجمّع ، نقطه ی انباشتگی ، ن ... 
cluster porosity,تخلخل خوشه ای
cluster roll,غلتک خوشه ای
cluster sampling,نمونه‌گیری خوشه‌ای(آمار) ، نمونه گیری خوشه ای ، نمونه گیری گروهی ، نم ... 
clustering,خوشه‌بندی ، خوشه‌بندی / کلمات مرتبط step-size clustering linkage clus ... 
clustering technique,فن خوشه‌بندی
clusters of equal size,خوشه های مساوی
clusters of unequal size,خوشه های نامساوی
co,پیشوندی به معنای »مشترک« و »هم«
co directional,هم راستا ، هم جهت 
co domain,هم دامنه ، متمم دامنه 
co domain of a function,هم دامنه ی یک تابع
co terminal angles,زوایای مزدوج
coad joint,هم الحاقی
coadjoint,هم الحاقی
coalition,ائتلاف
coaltitude,متمّم ارتفاع
coarse,درشت ، ضخیم ، خشن ، سخت ، زبر ، زمخت 
yanoff list,لیست یانوف
yard,یارد واحد مخصوص اندازه‌گیری ، هر یارد برابر با 3 پا یا 36 اینچ و تقری ... 
yarnold's criterion,ملاک یارنولد
yates' algorithm,الگوریتم ییتس
yates correction,تصحیح یتس
yates' correction,تصحیح ییتس
yates' correction for continuity,تصحیح ییتس برای پیوستگی
yates-durbin rule,قاعده ییتس-دوربین
yates's correction,تصحیح ییتس
yaw,انحراف ، منحرف شدن 
y-axis,محور y ها ، محور عرض در دستگاه مختصات دکارتی 
yes state,حالت بله ، حالت درست 
yet neither,حتی ، اگر ، هیچ یک 
yet we can't,حتی نمی توانیم
yield,دادن ، بارآوردن ، دستامد ، محصول ، حاصل ، باردهی ، بهره دهی ، بازده ، ... 
yield of capital,حاصل سرمایه ، بازده سرمایه 
yield ratio,نسبت بازدهی
yield strength,تاو تسلیم ، استحکام تسلیم 
yields,نتیجه می گیریم ، نتیجه می دهد ، در می آید ، می رسیم ، خواهیم داشت ، م ... 
yoke,یوغ ، بند ، طوقه 
youden misclassification index,شاخص بدرده‌بندی یودن
youden square,مربع یودن
young inequality,نابرابری یانگ
young's modulus,ضریب یانگ ، معیار یانگ 
yukich metric,متریک یوکیچ
yule distribution,توزیع یول
yule process,فرایند یول
yule scheme,طرح یول
yule's q criterion,ملاک Qی یول
yule's y criterion,ملاک Yی یول
yz plane,صفحه‌ی yz ، هامن yz ، صفحه ی yz 
z,بیست‌و ششمین‌و آخرین‌حرف‌الفبای‌انگلیسی‌ ، بیست و ششمین حرف الفبای ان ... 
z axis,محور z ها ، محور ارتفاع در دستگاه مختصات سه بعدی 
z coordinate,آراینده ی z ، همارای z ، مختص z 
z distribution,توزیع z
z intercept,ارتفاع از مبدأ
z plane,صفحه‌ی Z ، صفحه ی z 
z score,نمره‌ی Z ، نمره‌ی معیار طبیعی ، نمره ی z ، نمره ی معیار طبیعی 
z test of normality,آزمون Z نرمال‌بودن
z transform,تبدیل z
z transformation,تبدیل z
"z,axis",محور z ها ، محور ارتفاع در دستگاه مختصات دکارتی 
zahl,عدد صحیح ، عدد 
zanith,اوج ، بالاترین نقطه ی آسمان ، سمت الرأس 
zaremba test statistic,آماره آزمون زارمبا ، آماره آزمون زارِمبا 
zassenhaus,زاسن هاوس
z-axis,محور z ها ، محور ارتفاع در دستگاه مختصات دکارتی 
zelen's inequality,نابرابری زیلن
zelen's randomized constant design,طرح ثابت تصادفی‌شده زیلن ، طرح ثابت تصادفیده زیلن 
zellner estimator,برآوردگر زلنر
zenith,اوج ، سمت‌الرأس ، بالاترین نقطه‌ی آسمان ، سمت الراس 
zenon,این پارادکس منسوب به یکی از فلاسفه‌ی قبل از میلاد مسیح (ع) ، به نام ز ... 
zeno's paradox,پارادوکس زنو ، تناقض زنو ، باطل نمای زنو 
zermelo,زرملو
zermelo axiom,اصل موضوع تسرملو
zermelo's theorem,قضیه زرملو ، قضیه ی زرملو 
zero,صفر عدد اصلی مجموعه تهی ، مفهوم و نمادی برای نمایش فقدان یا عدم ، صفر ... 
zero base gudgeting,بودجه بندی بر مبنای صفر
zero control method,روش کنترل صفر
zero defect,نقص صفر ، بدون نقص 
zero degrees of freedom,درجه آزادی صفر
zero derivative theorem,قضیه مشتق صفر ، قضیه ی مشتق صفر 
zero division,بخش‌یاب صفر
zero divisor,مقسوم‌علیه صفر ، مقسوم علیه صفر ، بخشیاب صفر 
surd quantity,مقدار اصم ، کمیت گنگ 
sure,مطمئن ، محقق ، مسلم ، قطعی ، واثق 
sure event,حادثه ی یقین ، پیشامد حتمی 
surface,رویه ، سطح ، سطح فضایی 
surface adhesion,چسبندگی سطحی
surface area,مساحت رویه ، مساحت سطح 
surface broach,خانکش مسطح
surface coating,پوشش سطحی ، روکش کاری 
surface cutting,رو تراشی
surface defects,عیوب سطحی ، معایب سطحی 
surface gage,سوزن خط کش پایه دار ، خط کش پایه دار 
surface harmonic,همساز سطحی
surface integral,انتگرال رویه ای ، انتگرال سطحی ، انتگرال در روی سطح ، انتگرال روی رویه 
surface integral of revolution,انتگرال سطح دوار
surface of contact,رویه ی تماس
surface of enneper,رویه ی نپر
surface of revolution,سطح دوّار ، رویه دوّار ، رویه چرخی ، رویه ی دورانی ، سطح دوار ، رویه  ... 
surface of sphere,سطح یک کره
surface of zero,رویه هموار ، رویه ی هموار 
surfaces,پوش دسته ای از سطوح یک پارامتری
surfaces of the second order,رویه های مرتبه ی دوم
surfacing,سخت گردانی سطحی ، سخت کردن سطحی 
surfacing cut,صفحه تراشی ، رو تراشی ، عملیات سطحی 
surjection,پوشا ، تابع پوشا ، نگاشت پوشا ، برون گستری ، برافکنی ، تابع پوششی ، پ ... 
surjection map,نگاشت پوشا
surjective,پوششی ، پوشا ، بروی ، پوشایی ، گسترش پوششی ، برون گستر ، به رو 
Surjective function,تابع پوشا
surjective mapping,پوشایی ، نگاشت پوشا ، گسترش برافکن 
surjetive mapping,نگاشت پوشا ، گسترش برافکن ، مطابقه ی سورژکتیو 
surpass,تجاوز ، بزرگتر بودن 
surplus,اضافی ، اندوخته ، منافع ، مازاد 
surplus variable,متغیر اضافی ، متغیر مازاد 
surprise index,شاخص شگفتی
surprising,شگفت انگیز
surrogate,جانشین
surrogate response,پاسخ جانشین
surround,در بر گرفتن ، احاطه کردن ، محاصره کردن 
surrounding,دو طرف آن ، محیط ، فراگیرنده ، کناری 
surveillance,نظارت ، ارزیابی فنی 
survey,بررسی ، آمارگیری ، نظر اجمالی ؛ مختصر ، خلاصه ، 1  بررسی 2  پیمایش 3  ... 
survey planning,برنامه ریزی برای بررسی
survey research,تحقیق پیمایشی
survey sampling,نمونه‌گیری پیمایشی
survey statistician,آمارشناس بررسی نمونه‌ای
survey using remote sensing,بررسی مبتنی بر سنجش از دور
surveying,نقشه برداری
surveying by correspondence,آمارگیری به وسیله ی مکاتبه
surveying by direct observation,آمارگیری به وسیله ی مشاهده ی مستقیم
surveying by interviewing,آمارگیری به وسیله ی مصاحبه ، آمارگیری با مصاحبه 
surveying by mail,آمارگیری به وسیله ی پست
surveying by registration of current events,آمارگیری به وسیله ی ثبت وقایع جاری
surveyor,آمارگیر ، مسّاح ، نقشه بردار ، کارشناس ، ممیز ، بازبین ، ارزیاب ، برر ... 
survival analysis,تحلیل بقا
Survival Function,تابع بقا
suslin theorem,قضیه ی سوسلین
suspect observation,مشاهده مشکوک
suspend,آویزان شدن ، ایستادن 
suspension,معلق
suspension bridge,پل معلق
suspension point,نقطه ی آویز
swain-fu distance,فاصله سووین-فو
swamping,برون‌بری
swarf,تراشه
swastica,صلیب شکسته(منحنی)
bit,بیت ، بیت (رقم دودویی) ، نوکی ، نیش ، رقم دودویی ، ذره ، خرده 
bit (binary digit),بیت (رقم دودویی)
bitangent,مماس مضاعف
bitmap,نقشه ی بیتی
Bitopological group,گروه توپولوژی دوگانه
bitopological spaces,فضاهای دوتوپولوژیکی
bitterlich's angle-count method,روش شمارش زاویه‌ای بیترلیخ ، روش شمارش زوایه‌ای بیترلیخ 
biunique,دو سویی ، یک به یک و دو جانبه ، بیژکتیو 
biunique correspondence,تناظر یک به یک(منطق)
biunivocal,دو سویی
biunivocal correspondence,رابطه ی دو سویی
biunivocal mapping,گسترش دو سویی ، نگاشت دو سویی 
bivariant,دو متغیّری ، دو متغیری 
bivariate,دو متغیّری ، دو متغیّره ، دو وردایی ، دومتغیره ، دو متغیری ، دو متغیره 
bivariate analysis,تحلیل دو متغیّره ، تحلیل دو متغیره 
bivariate binomial distribution,توزیع دوجمله‌ای دومتغیّره ، توزیع دوجمله ای دو متغیره 
bivariate conditions,شرایط مرزی ، شرایط حدود ، شرایط کرانه ای 
bivariate distribution,توزیع دومتغیّره ، توزیع دو متغیره 
bivariate function,تابع دو متغیره
bivariate generating function,تابع مولّد دومتغیّره ، تابع مولد دو متغیره 
bivariate normal distribution,توزیع دو متغیّره نرمال ، توزیع نرمال دومتغیره ، توزیع نرمال دومتغیّره 
bivariate normal surface,سطح دو متغیّری نرمال ، سطح دو متغیری نرمال 
bivariate population,جامعه ی دو متغیّری
bivariate rank sum test,آزمون مجموع رتبه‌های دومتغیّره
bivariate symmetry test,آزمون تقارن دومتغیّره
bivariate transformation,تبدیل دومتغیّره ، تبدیل دو متغیره 
bivector,دو برداری ، دو برداره ، دو بردار 
black,سیاه
black box,جعبه‌ی سیاه ، جعبه سیاه ، جعبه ی سیاه 
black hole,چاله ی سیاه
Black–Scholes formula,فرمول بلک شولز
blackwellization,بلک‌ول‌سازی
bladed ejector,پران تیغه ای
bladed wheel,چرخ پره دار ، چرخ پره 
blaise pascal,بلیز پاسکال ریاضیدان و فیزیکدان فرانسوی ( 1662 - 1623 ) در مورد هندسه ... 
blanded surface,سطح آمیخته ، رویه ی آمیخته 
bland's cycling prevention rule,قاعده ی ممانعت دوری بلند
blank,ستون خالی ، جای خالی ، کار نشده ، فضای خالی ، خالی ، صفحه ی فرم 
blanket insurance,بیمه ی کلی ، بیمه ی جامع 
blistering,طبله کردن
block,بلوک ، پارچ ، قطعه ، جدول ، بستن ، سد شدن ، توده ، سد کردن ، مانع ، د ... 
block algorithm,الگوریتم بلوکی
block bias,اختلاف بلوک ها ، تورش بلوک ها 
block design,طرح بلوکی
block diagonal matrix,ماتریس قطری قطعه ای
block diagram,نمودار قطعی ، نمودار خانه ای ، نمودار بلوکی 
block effect,اثر بلوکی
block effects,اثرات بلوکی ، اثر های بلوکی 
block matrix,ماتریس بلوکی ، ماتریس بلاکی 
block multiplication,ضرب جدولی ، ضرب بلوکی ، ضرب پارچی 
block pivot,محور گیری بلوکی
block pivoting,محورگیری بلوکی
block scanning,قطعه خوانی
blocking,بلوک‌بندی ، بلوکی ، بلوک بندی ، قطعه بندی ، قالب کردن ، قالبزنی 
blocking hyperplane constraint,محدودیت ابرصفحه مسدود کننده
blocking variable,متغیر بلوک بندی
blood,خون
blood pressure,فشار خون
blow,دمیدن ، وزیدن 
blow hole,مک هوا ، حفره ، مک 
blue print,چاپ آبی ، نقشه ی محصول ، چاپ اوزالید ، نقشه ، طرح ، نقشه ی اوزالید 
blumen's bivariate sign test,آزمون علامت دومتغیّره بلومن
blunder,خبط
board of directors,هیئت مدیره
lexicographic sequence,دنباله قاموسی
lexicographical order,ترتیب الفبایی ، ترتیب فرهنگ لغتی ، ترتیب قاموسی 
lexicographically,به صورت الفبایی
lexicographically nonnegative vector,بردار به طور الفبایی نامنفی
lexicographically positive vector,بردار به طور الفبایی مثبت
lexicography,به صورت الفبایی
lexicostatistics,زبان‌آمار
lexis quotient,خارج‌قسمت لکزیس
lexis ratio,نسبت لکزیس
l'hopital rule,قاعده هوپیتال ، قاعده ی هوپیتال ، قاعده ی لوپیتال 
l'hospital rule,قاعده هوپیتال
l'hospital rule = l'hopital rule,قاعده هوپیتال
l'hospital's rule,دستور لوپیتال ، قانون هوپیتال 
l'hospital's theorem,قضیه ی هوپیتال
liabilities,بدهی ها ، اقلام بدهی ها 
liapunov's inequality,نابرابری لیاپونوف
liapunov's theorem,قضیه لیاپونوف
liberate,آزاد کردن
librarian system,سیستم بایگانی
library functions,توابع کتابخانه ای
license,حق استفاده ، تصدیق ، اجازه نامه ، گواهینامه ، جواز ، امتیاز 
licensing agreement,موافقت برای بهره برداری
lid,سرپوش ، قاب ، درپوش ، درب 
lie,قراردادن ، قرار داشتن 
lie algebra,جبر لی
lie bracket,کروشه ی لی
lie derivative,مشتق لی
lie group,گروه لی
lie product,ضرب لی
lie transformation group,گروه تبدیل های لی
lieberman-ross procedure,شیوه لیبرمن-راس
life expectancy,طول عمر ، میانگین عمر ، عمر انتظاری 
life insurance,بیمه عمر
life periods method,روش مجموع سنوات
life table,جدول عمر ، جدول طول عمر 
life testing,آزمون طول عمر ، آزمایش طول عمر ، آزمون کردن طول عمر 
life time,طول عمر ، عمر ، عمر میانگین ، عمر متوسط 
lifetime,درازای زندگی
lifetime distribution,توزیع طول عمر
lifo costing,هزینه یابی به روش اولین صادره از آخرین وارده
lift,بالابردن ، بلند کردن ، خیز 
lift time,عمر ، عمر میانگین ، عمر متوسط 
light,نور (ی)
light pen,قلم مغناطیسی ، قلم نوری 
light year,سال نوری
lightly coated electrode,الکترود با روپوش نازک
like,مساوی ، برابر ، متساوی ، مثل ، مشابه 
likelihood,درست‌نمایی ، درستنمایی ، احتمال ضعیف ، درست نمایی ، شانس ، بخت ، راست ... 
likelihood displacement,تغییریافتگی درستنمایی
likelihood function,تابع درست‌نمایی ، تابع درستنمایی ، تابع درست نمایی ، تابع بخت 
likelihood function of sample,تابع درستنمایی نمونه
likelihood map,نقشه درستنمایی
likelihood of sample,درستنمایی نمونه
likelihood principle,اصل درستنمایی
likelihood probability,احتمال درستنمایی
likelihood ratio,نسبت درستنمایی
likelihood ratio statistic,آمار نسبت درستنمایی
likelihood ratio test,آزمون نسبت درستنمایی
likelihood ration statistic,آماره نسبت درست‌نمایی
likely,متشابها ، محتمل ، مناسب ، شبیه ، شایسته 
liken,تشبیه کردن
likewise,به طور مشابه ، هم ، نیز ، به همین ترتیب ، همین طور 
lilliefors test,آزمون لی‌لی‌فورس
limacon,منحنی حلزونی ، حلزونی 
bayes' formula,فرمول بیز
bayes linear estimator,برآوردگر خطّی بیزی ، برآوردگر خطی بیزی 
bayes loss,زیان بیزی ، زبان بیز 
baye's loss,زیان بیز
bayes' loss,زیان بیز
baye's postulate,اصل بیز ، فرض مسلم بیز 
bayes' postulate,اصل بیز ، فرض مسلّم بیز 
bayes procedure,شیوه ی بیز
bayes risk,مخاطره‌ی بیزی ، مخاطره ی بیزی ، مخاطره ی بیز ، مخاطره ی بیس 
bayes' risk,مخاطره‌ی بیزی ، مخاطره بیزی 
bayes rule,قانون بیس
baye's rule,قاعده ی بیز ، قانون بیز 
bayes' rule,قاعده ی بیز ، قانون بیز 
bayes theorem,قضیه ی بیز
bayes' theorem,قضیه‌ی بیز ، قضیه بیز 
baye's thereom,قضیه ی بیز
bayesian,بیزی
bayesian analysis,تجزیه و تحلیل بیزی
bayesian concept,مفهوم بیزی
bayesian criterion,ملاک بیزی ، معیار بیزی 
bayesian distribution,توزیع بیزی
bayesian forecasting,پیش‌بینی بیزی
bayesian inference,استنباط به شیوه‌ی بیزی ، استنباط بیزی ، استنباط به شیوه ی بیز 
bayesian interval,فاصله ی بیزی
bayesian limit,حدّ بیزی ، حد بیزی 
bayesian method,روش بیزی
bayesian model selection,مدل‌گزینی بیزی
bayesian prediction,پیشگویی بیزی
bayesian regression,رگرسیون بیزی
bayesian robustness,استواری بیزی
be able to,قادر باشد
